TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME
dbo,ViewPatrimonioConferencia,LocalizacaoAtual
dbo,ViewPatrimonioConferencia,LocalizacaoConferencia
dbo,ViewPatrimonioConferencia,Marca
dbo,ViewPatrimonioConferencia,Modelo
dbo,ViewPatrimonioConferencia,NomeSecao
dbo,ViewPatrimonioConferencia,NomeSetor
dbo,ViewPatrimonioConferencia,NPR
dbo,ViewPatrimonioConferencia,PatrimonioId
dbo,ViewPatrimonioConferencia,SecaoConferenciaId
dbo,ViewPatrimonioConferencia,SetorConferenciaId
dbo,ViewPatrimonioConferencia,Status
dbo,ViewPatrimonioConferencia,StatusConferencia
dbo,ViewRequisitantes,Nome
dbo,ViewRequisitantes,Sigla
dbo,ViewRequisitantes,Status
dbo,ViewSetores,Status
dbo,ViewVeiculosManutencao,Descricao
dbo,ViewVeiculosManutencaoReserva,Descricao
dbo,ViewViagens,CNH
dbo,ViewViagens,CombustivelId
dbo,ViewViagens,CorEvento
dbo,ViewViagens,CorTexto
dbo,ViewViagens,DescricaoEvento
dbo,ViewViagens,DescricaoMontada
dbo,ViewViagens,Destino
dbo,ViewViagens,FichaVistoria
dbo,ViewViagens,Foto
dbo,ViewViagens,Minutos
dbo,ViewViagens,NomeEvento
dbo,ViewViagens,Origem
dbo,ViewViagens,Ponto
dbo,ViewViagens,RamalRequisitante
dbo,ViewViagens,RowNum
dbo,ViewViagens,Titulo
dbo,ViewViagens,ViagemIDStr
